time,open,high,low,close,tick_volume,spread,real_volume,SMA_10,SMA_50,EMA_10,EMA_50,RSI,Signal
2025-02-14 06:00:00,1.04588,1.04638,1.04547,1.04548,897,4,0,1.045789,,1.0451559470105538,1.0417341564008566,71.36222136941855,0
2025-02-14 07:00:00,1.0455,1.04557,1.0447,1.04526,1114,4,0,1.0459450000000001,,1.0451748657359077,1.0418724247772937,59.918191831752054,0
2025-02-14 08:00:00,1.04526,1.04609,1.04517,1.04585,1486,4,0,1.045914,,1.045297617420288,1.0420284081193607,65.74922609083495,0
2025-02-14 09:00:00,1.04584,1.0472,1.04583,1.04647,2310,4,0,1.045934,,1.0455107778893264,1.0422025881931112,69.24582791927949,0
2025-02-14 10:00:00,1.04649,1.04863,1.04635,1.04766,2771,4,0,1.046042,,1.0459015455458125,1.042416604342401,84.37179590188977,0
2025-02-14 11:00:00,1.04766,1.04877,1.04757,1.04811,2215,4,0,1.046238,,1.0463030827193012,1.042639874760346,79.51805738617557,0
2025-02-14 12:00:00,1.04812,1.04828,1.04646,1.0467,1813,4,0,1.0463,,1.04637524949761,1.0427990953579795,54.2055956561006,0
2025-02-14 13:00:00,1.0467,1.04691,1.04629,1.04674,1741,4,0,1.046382,,1.0464415677707717,1.0429536406380588,53.700775562033584,0
2025-02-14 14:00:00,1.04672,1.04744,1.0457,1.04716,1944,4,0,1.046531,,1.0465721918124495,1.0431185959071547,54.48915227789295,0
2025-02-14 15:00:00,1.04716,1.04977,1.04712,1.04881,3109,3,0,1.046824,,1.0469790660283678,1.0433417882245213,67.31769606187973,0
2025-02-14 16:00:00,1.04888,1.0514000000000001,1.04872,1.05086,2926,4,0,1.0473620000000001,,1.0476846903868462,1.0436366200588538,74.741189996102,0
2025-02-14 17:00:00,1.05086,1.05125,1.04909,1.0508,3059,4,0,1.047916,,1.0482511103165104,1.043917536919291,75.52300149244861,0
2025-02-14 18:00:00,1.0507900000000001,1.05099,1.04969,1.04974,2163,4,0,1.0483049999999998,,1.0485218175316904,1.0441458688048089,69.6239057402629,0
2025-02-14 19:00:00,1.04975,1.05087,1.0493999999999999,1.05071,1579,3,0,1.048729,,1.0489196688895648,1.0444032857144243,71.69810418891805,0
2025-02-14 20:00:00,1.05071,1.0507900000000001,1.04995,1.05043,1298,4,0,1.0490059999999999,,1.0491942745460074,1.0446396274511136,72.47955481640504,0
2025-02-14 21:00:00,1.05044,1.05048,1.04948,1.04986,1167,4,0,1.0491810000000001,,1.0493153155376422,1.044844347943227,70.24647021610329,0
2025-02-14 22:00:00,1.04984,1.04984,1.04911,1.04919,1045,4,0,1.0494299999999999,,1.0492925308944345,1.0450147656709436,64.59789419256549,0
2025-02-14 23:00:00,1.04923,1.04947,1.04875,1.04898,677,0,0,1.0496539999999999,,1.0492357070954463,1.045170265056397,61.37805204630319,0
2025-02-17 00:00:00,1.04845,1.04899,1.04839,1.04875,282,4,0,1.0498129999999999,,1.049147396714456,1.045310646818891,55.41210748987587,0
2025-02-17 01:00:00,1.0487,1.04941,1.04843,1.04882,1128,2,0,1.049814,,1.0490878700391004,1.045448268512268,53.66356293818479,0
